name,
clevo,
Elitegroup Computer Systems,
getac,
gigabyte technology,
micro-star international MSi megabook,
hasee, 
matebook,
lemote,
lava, 
tongfang,
xiaomi,
toshiba,
vaio,
nec,
onkyo,
panasonic,
sharp,
toshiba,
fujitsu,
versa
